네	yes
예약	reservation, booking
아쉽다	to be sorry, sad

배구	volleyball
역할	role, part
빨강	red

따라오다	to follow, come with

여성	women
양파	onion
행동	behavior, action
웃기다	to amuse, to be funny
국내	inside country, domestic
겁	fear, fright
모양	shape
말리다	to dryto make somebody stop doing something

고모	aunt (father's sister)
옷걸이	coat hanger

기간	period, term
관련하다	to be related to, connected with
꿀	honey

아무래도	anyway, by the look of (it)by any means

능력	ability, capability
깊다	to be deep

마을	village, town

크게	greatly, highly

비서	secretary
특별하다	to be special, extraordinary
금년	this year
교환학생	exchange student
멈추다	to stop, cease
대표	representative
녹차	green tea
도움	help, aid

지각하다	to be late (for something)to perceive, sense, be aware
딱	exactly, precisely

향수	perfume, fragrancehomesickness
반드시	surely, certainly

비키다	get out of the way, step aside

탁자	tea table
상황	situation, state of things
십대	teenage, teenager
익숙하다	to be familiar, used to something

여보	Honey, Dear

고장	defect, break down
마디	knuckleword

포기하다	to give up
예술	art
적어도	at least

임금	wages, payking, monarch
모자라다	to be insufficient

희망	hope
세계적	global, worldwide
호선	[subway] linearc, curve
빠지다	to fall intoto fall out, come off

막내	youngest child (in a family)

인천	Incheon
가능성	possibility, likelihoodpotential
약하다	to be weak
대회	mass meeting, conventioncontest, tournament (where many people gather)
커피숍	coffee shop

방향	direction
다하다	to run out, be used up, become exhausted

미소	smile
단체	organization, association
어쨌든	anyway, in any case

넘어가다	to cross, go overto fall into, go down

주황색	orange
근무	service, work, duty
선수	player, athlete
간단하다	to be simple, easy
바깥	outside

이혼	divorce
제품	product, manufactured goods
변화하다	to change, alter
사업가	businessman
공중	publicthe air, space
비다	to be empty, vacant

주변	surroundings
판매	sale
잠들다	to fall asleep
등산	hiking, mountain climbing
자꾸	constantly, repeatedly

공포	fear, scare
쌓이다	to pile up, be stacked up

주부	housewife
전쟁	war
스트레스	stress

편안하다	to be comfortable, relaxed, peaceful
마찬가지	the same, identical, equal

현대	the present age, modern times
그림자	shadow

밀다	to push, shove

효과	effect, efficiency
지붕	roof

긴장하다	to be nervous, be tense
정원	capacity, limitgarden
너머	beyond, the other side

천사	angel
놓치다	to miss, let slip, fail to catch

배낭	backpack
쥐	ratmouse

끌다	to pull, draw

휴지통	trash can, wastebasket
경주	race, runGyeongju
국민	people, citizen
나타내다	to expressto show, display

기말	end of a term, end of a semester
괜히	in vain, pointlessly, for nothing

참외	oriental melon

다양하다	to be various, diverse
무릎	kneelap

질서	order, system
지우개	eraser, rubber

담다	to put into

시민	citizen
점점	gradually, little by little, increasingly
비교하다	to compare with
칫솔	toothbrush
종류	kind, type, sort
한식집	Korean restaurant
바라보다	to look at, watch, gaze

가죽	leather

기름	oilfat

인사동	Insadong

알려지다	to become known

화장	make-upcremation
우편	mail, post
멀리	far, far away

상상하다	to imagine
음악회	concert
표현	expression (verbal, grammatical etc.)
이웃	neighbor

반대하다	to oppose, be against
보라색	violet, purple
공간	space, room
당시	at that time, in those days
안내하다	to guide, lead the way
크기	size, volume

한편	one side, one handmeanwhile
태국	Thailand
갈아입다	to change clothes

육교	pedestrian overpass
편히	conveniently, comfortably
코멘트	comment

강조하다	to stress, emphasize
시설	establishment, facilities
남산	Namsan, Mt. Nam (in Seoul)
차례	order, sequencetime, turn
싱겁다	to be bland, not salty enough

벌	punishment, penaltybee
재산	property, fortune, wealth
가져가다	to take (along), carry

공장	factory
아무리	however, no matter how
이모	aunt (mother's sister)
요구하다	to demand, ask, claim
아픔	pain, achesorrow, grief

쌀	uncooked rice

일반	general, common
떠들다	to make noise, speak loudly

전국	the whole country
금방	shortly, soon, any minute
창피하다	to be ashamed, embarrassed
가정	home, familysupposition, assumption
책장	bookshelf, bookcasethe page of a book
더하다	to add (up), sum upto get worse, grow harder

늘	always, all the time

의견	opinion, view, idea
맞추다	to set, adjust

꽃병	flower vase

문자	letters, alphabettext message
과장님	head of department, chief
섭섭하다	to be sorry, disappointed, regret

몰래	secretly

설날	New Year's Day

얼음	ice

참가하다	to participate, join
형제	brothers, siblings
화분	flower pot
나누다	to divide, split upto share

불만	dissatisfaction,complaint
최대	the largest, the biggest
갈아타다	to change vehicles, transfer
발목	ankle

자체	oneself, itself
정리하다	to arrange, put in order
태도	attitude, manner
믿음	belief, trust

데려오다	to bring, go and get, fetch someone

신용카드	credit card
청색	blue
주장하다	to assert, contend, insist
한숨	sighrest, pause

남성	men, malemasculine gender
확실하다	to be certain, be reliable
삼촌	uncle
도로	road, street
세다	to be strongto count (up)

만두	dumpling
이틀	two days

실패하다	to fail, go wrong
재료	material, ingredient
복	blessing, fortune
인정하다	to admit
전문	specialty
고민	worry, trouble
뜻하다	to mean, signifyto intend, plan, aim

고객	customer, client

요새	these days, currentlyfortress
질리다	to get tired, sick of

원피스	dress

사정	reasonsituation, circumstances
방해하다	to disturb, interrupt
무언가	something

자유	freedom, liberty
떨어뜨리다	to drop (something)
정문	the front gate, main entrance
시골	country, rural area

자세히	closely, in detail
좌회전하다	to turn left
유럽	Europe

푹	deeply, soundly, carefully

옮기다	to move, transfer

국가	state, nation
크리스마스	Christmas

신혼여행	honeymoon
자라다	to grow up, be raised

지구	Earth, globedistrict, zone
골프	golf

해결하다	to solve a question, problem
소비자	consumer
한라산	Mt. Halla
스키	skiing, skis
바뀌다	to be changed, transformed

포장	packing, wrapping
환경	environment
진행하다	to progress, proceed
빗	comb

신분증	ID card
맡다	to take charge of, undertaketo smell, sniff, scent

문구	stationeryphrase, sentence
과목	subject, course
특별히	especially, particularly
지르다	to yell, shout, scream

그대	you (poet.)

남색	indigo, deep blue
쌓다	to pile upto accumulate

마음속	one's mind, one's heart

직행	going straight, going direct
불쌍하다	to be pitiful, pathetic, poor

수염	beard, moustache, whiskers
대본	script, screenplay
졸다	to doze off
오토바이	motorcycle

절대	absolutely, definitely
끓이다	to boil, heat, cook

계산서	check, bill
팬	fan (a person)

고백하다	to confess, admit
옥수수	corn

각종	every kind, various kinds
돌리다	to turn, spin
실력	skill, ability
모기	mosquito

낳다	to give birth

전자의	electronic
치과	dentist
관광	tourism
늘다	to increase, grow, rise

과정	process, course
동물원	zoo
차다	to kickto be cold, chillyto be full (of)
땅	the groundland

예정	schedule
상관없다	to not matter, not careto have nothing to do with
자격	qualification
신촌	Sinchon

사오다	to buy something and bring it

일부러	intentionally, on purpose

전철	subway (train)
마치다	to finish, complete

호	a number (count.)issuearc
행사	event
감동하다	to be moved, touched (emotionally)
큰일	serious matter

상태	condition, state
잇다	to connect, join
검정	black

왠지	somehow, for some reason

기온	temperature
모이다	to come together, assemble, gather

정부	government
햇살	sunlight, sunshine

녹음하다	to record (sound etc.)
연휴	long holiday, consecutive holidays
과제	task, assignment
우회전하다	to turn right
경쟁	competition
흙	earth, soil
깨다	to breakto wake (up)

금속	metal
일기	diary, journal
나서다	to leave, set outto come forward<br />to meddle

계약	contract
빛	light, ray, glow

대학원	graduate school
발견하다	to discover, find
뒷문	back door
공기	air
누르다	to press down, push down, to suppress
정거장	station, stop
특징	distinguishing mark, characteristic
돌려주다	to give back, return something
오히려	rather, preferably

연예	entertainment
삶	life

합격하다	to pass an exam
동시에	at the same time
속옷	underwear

현실	actuality, reality
완전하다	to be perfect, complete
미역국	seaweed soup

답	answer
내밀다	to stick out, extend

발표	announcement, presentation
꽃집	flower shop

마련하다	to prepare, arrange

기본	basis, foundation, basics
쌍둥이	twins
흔들다	to shake, wave, swing

감정	feeling, emotiongrudge, animosityappraisal, valuation
음악가	musician
취하다	to get drunk, be drunkto choose, pick, take
그룹	group

대중	the (general) public
고생하다	to suffer, have a hard time, have trouble
기초	foundation, basis, base
혀	tongue

떨다	to tremble, shake, vibrate

전통	tradition
이미지	image

상자	box
신청하다	to apply for, request
금발	golden hair
안주	appetizers served with drinks
가만히	still, motionlessly

깜빡하다	to forget, slip one's mind

막	just, just nowseverely, carelesslycurtain
전기	electricitybiography
하양	white, whiteness

물다	to biteto pay (for)
위치	position, location, site
마침내	finally, eventually, at last

기르다	to raise, look afterto grow
버릇	habitmanners

태양	sun
학습	studying, learning
답답하다	to feel frustratedto be stuffy

검	sword
새로	newly

의심	doubt, suspicion
줄이다	to reduce, decrease

덕분에	thanks to
장점	advantage, strength, strong point
여우	fox

부족하다	to lack, be lacking, not good enough
욕조	bathtub
짜증	irritation, annoyance

달라지다	to change, alter, vary
회장	president, chairmanhall, venue
모임	meeting, gathering

인삼	ginseng
기대하다	to expect, look forward
웃음	laughter, smile

성인	adult, grown-up
각각	each, every
보호하다	to protect
터	site, ground

주먹	fist

그치다	to stop (doing), cease
신사	gentleman
때때로	occasionally

수저	spoon and chopsticks (traditional Korean utensils)

훌륭하다	to be excellent, great, superb, fine

드레스	dress

산업	industry
낡다	to be old, worn

큰형	boy's eldest brother
도둑	thief

못생기다	to be ugly, unattractive

회식	dining together (among colleagues)
코피	nosebleed
시도하다	to try, attempt
이상형	ideal type
실내	indoors
막다	to block, close

매년	every year
남방	shirtsouth
알아듣다	to understand, catch, see

풀	grassglue

수입	incomeimport
푸르다	to be blue, green

목장	farm, ranch
죽음	death

엊그제	a couple of days ago

오래되다	to be old (for an object)

하숙집	boarding house
무	radish

노약자	old and/or weak people
완벽하다	to be perfect, flawless
명령	order, command
신호등	traffic light
키우다	to raise, bring up, breed

흔히	commonly, frequently, generally

티셔츠	T-shirt

느껴지다	to feel (as if)to be impressed, be moved

주요	major, main, primary
및	and, as well as

내놓다	to put out, take outto show, present

목표	target, goal
노인	old people
변호사	lawyer
칭찬하다	to praise, compliment
욕심	greed
즉시	at once, immediately, without delay
썰다	to cut (up), chop, slice

음료수	beverage, drink
소포	parcel, package
평화	peace
개다	to fold upto clear up

어젯밤	last night
비용	expense, cost
서두르다	to hurry up, hasten

평생	lifetime, one's entire life
명절	(national) holiday
이르다	to arrive, reachto be early, prematureto tell, say

오른손	right hand

상추	lettuce

늙다	to grow old, be old

전문가	expert, specialist
기준	standard, criteria
이불	comforter, bedding

늘어나다	to grow longerto increase

고구마	sweet potato

형태	form (more abstract)
방문하다	to visit
단점	weakness, flaw, shortcoming
무역	trade, commerce
그립다	to be missed, be belovedto miss, long for

마음대로	as one pleases, at one's convenience

장남	eldest son
살려주다	to save, rescue, spare

명함	business card
세금	tax
판단하다	to judge, decide, make a judgement
신체	body
박수	handclapping, applause
익숙해지다	to get used to

충격	shock
강남	Gangnam
위로하다	to console, comfort
제공	offer
하늘색	sky blue

들르다	to stop by

기념	commemoration
스케이트	skates

과음하다	to drink too much
수술	operation, surgery
잡채	noodles with sauteed vegetables
볶다	to fry, roast

배경	background, setting
한강	Han River
구입하다	to purchase
편도	one-way trip
여행사	travel agency
충분하다	to be enough, be sufficient
무용	dance
낙엽	fallen leaves
쳐다보다	to look (at), stare (at)

연기	acting, performancesmoke
손잡이	handle, knob

넘어지다	to fall (down)

나비	butterfly

콘서트	concert

무시하다	to ignore, disregard
기관	engineinstitute, schoolorgan
선풍기	electric fan
옳다	to be right, correct, proper

잔치	party, feast

물음	question

통하다	to go through, flowto be circulatedto be understood
영화관	movie theater
자막	subtitlescaption
달려오다	to come running

드라이어	dryer

각자	each one, each
다가오다	to approach, come near

글씨	letter, character (handwritten)
온도	temperature
손바닥	palm of the hand

향하다	to face, look out atto proceed to, lean towards
방식	method, manner, way
가짜	imitation, fake
속하다	to belong to
월말	end of the month
식후	after a meal
입장하다	to enter, get into, obtain admission
영향	influence, effect
주머니	pocket, bag

장난치다	to joke, kid, frisk, get funny (with)

거미	spider

개인적	personal, individual
심하다	to be heavy, severe, harsh
금연	smoking prohibited, no smoking
주인공	protagonist, main character
기도하다	to prayto attempt
나머지	the rest, the remainder

주위	the circumference, perimetersurroundings
살피다	to look over carefully

적극적	positive, active
눈치	reading (sensing) the atmosphere or people's faces

개발하다	to develop, improve
젊은이	the youth, young person
점차	gradually, little by little
끄덕이다	to nod

길이	length

천둥	thunder
높이다	to raise, make higher

형님	a man's older brother (hon.)
사물	objects, things, matters
독서하다	to read books
곰	bear

신부	brideCatholic priest
쪽팔리다	to be embarrassing

찬물	cold water

일반적	general, usual
놓이다	to be putto feel relieved

밤색	brown,chestnut
감히	boldly, daringly
발생하다	to occur, arise, happen
에너지	energy

새끼	young animalfellow

괴롭다	to be painful, distressing

소문	rumor, gossip
이리	wolfhere, this way

참석하다	to attend, be present
걸음	step

방송국	broadcasting station
가늘다	to be thin, slender

똑바로	straight, directlyhonestly, frankly

통장	bankbook
화내다	to get angry, vent one's anger
서양	the West
콩	bean

안전하다	to be safe, secure
시인	poet
단계	stage, phase, step
가리다	to cover, hide, shieldto distinguish, differentiate

할인	discount
고추	chili pepper

심다	to plant

계산기	calculator
전기밥솥	electric rice cooker
지치다	to be exhausted, worn out

글자	letter, character
마침	coincidently, just

교사	instructor, teacher
뻔뻔하다	to be shameless, brazen
이전	the previous, before, formerlyrelocation, move
몸살	body ache

찾아보다	to look for, search

종교	religion
진지	meal (hon.)position, stronghold
서운하다	to be sad, hurtto be regrettable

예절	manners, etiquette
밤새도록	all night long

통화하다	to talk over the telephone
뱀	snake

교육	education
견디다	to bear, endure, tolerate

혼자서	by oneself, to oneself, in solitude

연애	datinglove, romance
뿌리다	to sprinkle, spray, scatter

연두색	light green
전화번호	phone number
외교	diplomacy
알맞다	to be fitting, suitable, appropriate

만남	meeting

문서	document, papers
붙이다	to stick, attach

금	goldline
한참	for some time

가리키다	to point to

저리	that way, that directionlow interest (rate)
추억	recollection, remembrance
안타깝다	to be heart-breaking, frustrating, regrettable

부장	head of department
양식	style, patternWestern-style foodgood senseculture, farming
어둠	darkness

진하다	to be darkto be thick, strong, rich
박사	doctor, expert
후추	black pepper

혼나다	to be scolded, have a hard time
껌	chewing gum

팝송	pop song

단지	simply, merely, justapartment complex
가득하다	to be filled (with)

형용사	adjective
부자	rich personfather and son
모시다	to accompany, taketo treatto serve (hon.)

낮잠	nap

토끼	rabbit

발달하다	to develop
직원	employee, staff member
매력적	attractive, charming
수많다	to be numerous, a lot of
깜짝	startling

마늘	garlic

연하다	to be soft, light, tender
너희	you (plural)

고속버스	express bus
끼다	to be caught (in), be involvedto wearto cloud over, be foggy

우연히	by chance, accidentally
손수건	handkerchief
늘리다	to increase, addto extend

목욕탕	bathroom, bath house
그리	so, verythere, that way

뽑다	to pick, draw, pull out

체육	physical education
곡	tune, music, song
불리다	to be called, be invitedto enrich oneself

교포	ethnic Korean living abroad
도시락	(packed) lunch

싸움하다	to fight, quarrel

오징어	squid, cuttlefish

수도	capital citywater supply (service)
퇴원하다	to be discharged from the hospital
주민	resident, inhabitant
몇몇	some, several

순수하다	to be pure, genuine
명동	Myeong Dong
논문	thesis, research paper
양	quantity, amountsheep, lamb
차리다	to set, prepareto pull oneself together

식물	plant, vegetation
맨날	always, every day (<i>less formal</i>)
이익	profit, gain, advantage
잡히다	to be caught, be grabbed

어려움	difficulty, hardship

온	all, entire, whole

바르다	to apply, put on

오랫동안	for a long time

농촌	farm village
잘되다	to be going well, come out well

전부	all, entire, total
한쪽	one side, one way

용서하다	to forgive
검사	prosecutor, district attorneyexamination, inspection, check
그만큼	that much, to that extent

후회하다	to regret
치료	treatment, cure
찻잔	teacup
쥐다	to grip, clench, grasp

고모부	father's sister's husband
정상	normalitytop, summit
벌어지다	to get widerto happen, break out

막차	the last train/bus
욕	swear word, insult, abuse
포함하다	to include, contain
노동	labor
가치	value, worth
커지다	to grow big, expandto become serious

시리즈	series

분석	analysis
날아가다	to fly away

얼다	to freeze, be frozen

폭	width, rangedeeply, completely
서류	documents, papers
울리다	to ringto make someone cry

부동산	real estate, property
수필	essay
속이다	to deceive, cheat, trick

주유소	gas station
최선	the best
의지하다	to rely, depend, lean on
조상	ancestor, forefather
곁	side, beside

불가능하다	to be impossible
선반	shelf

세월	(long period of) time
비우다	to empty, vacate

승무원	crewman, stewardess
대체	(why) on earth, (what) the hellsubstitution
입학하다	to enter a school, be admitted into a school
꼬리	tail

밭	field, farm

꾸다	to dreamto burrow

퇴근시간	closing time
자세	posture, position
담기다	to be put in, be included

상대방	the other party, the opposing team, adversary
기능	functionskill
줍다	to pick up, gather up

강물	river water
문제점	problem, drawback, the point in question
동의하다	to agree
샴푸	shampoo

정장	formal wear (outfit, dress, suit)
꾸미다	to decorate, make upto invent, prepare

깊이	depthdeeply

성공	success
마주보다	to look at each other

일식	Japanese-style foodsolar eclipse
겨우	barely

젓다	to stir, whipto rowto gesticulate
비교적	relatively, comparatively
예술가	artist
이루다	to achieve, accomplishto make, form

농사	farming
몹시	extremely, awfully, very

신선하다	to be fresh
최초	the very first
시선	one's eyes
상하다	to go bad, spoilto be hurt
즉	namely, so to speak
과학자	scientist
씹다	to chew
한두	one or two

파리	flyParis

허락하다	to allow, permit
질투	jealousy
볼	cheekball

연기하다	to delay, postpone, put offto act
구멍	hole

서비스	service

그만두다	to quit (work, school, etc.)to give up (drinking etc.)

왼손	left hand

이리저리	here and there, this way and that

숨기다	to hide, conceal

햇볕	sunbeam, sunlight

총	guntotal, overall
기록하다	to record, write downto register
회원	member, membership
춘천	Chuncheon
신고하다	to report, declare, notify
영원히	forever, eternally
검색	search
활용하다	to utilize, put to practical use
세탁소	laundry, dry cleaner's
밀가루	flour

반복하다	to repeat
송이	counter for clusters of grapes, bunches of flowers and similar

집안	home, family, household

환전하다	to exchange money
청소년	teenager, youth, adolescent
미역	seaweed, sea mustard

가꾸다	to grow, cultivateto take care of

의학	medicine, medical science
우주	universe
피다	to bloom, blossomto burn

함부로	thoughtlessly, carelessly

교문	school gate
싣다	to load (up)
생년월일	date of birth
감옥	jail
표시하다	to mark, indicateto express, show
중요성	importance, significance
차비	transportation fare
금지하다	to prohibit, ban
절	Buddhist templedeep bowclause, verse
제법	pretty, fairly, quite

살펴보다	to look around, watch for

온돌방	room with the Korean floor heating system
번개	lightning

일정하다	to be fixed, constant, regular
안내	guide, information leaflet
마치	as though, as if

헷갈리다	to be confused, confusingto be hard to find

선글라스	sunglasses

거품	bubble, foam

채우다	to fill upto lock, fasten

식빵	bread
통일	unity, unification
교환하다	to exchange, trade
오리	duck

이동	movement, transfer
너무하다	to be unreasonable, too much

손자	grandson
친척	relatives
연결하다	to connect, link, attach
페이지	page

된장	soybean paste
신랑	groom
속상하다	to be upset, distressedto be upsetting, distressing
대표적	representative, typical
후배	one's junior (at school or workplace)
감상하다	to enjoy, appreciate
누구나	anyone

복도	hallway
정하다	to decide, determine, choose
성냥	matches

기타	guitaretc.
실망하다	to be disappointed
불교	Buddhism
집사람	wife

잦다	to be frequent

날개	wings

오페라	opera

불완전하다	to be incomplete, imperfect
미술	art
김	dried seaweedsteam

편찮다	to be unwell, sick
심부름	errand

복수	revengeplural
비하다	to compare to
땅콩	peanut

한발	one step

부치다	to mail, shipto fry

공중전화	public phone
손녀	granddaughter
선선하다	to be cool, refreshing

캠퍼스	campus

학위	academic degree
얇다	to be thin, flimsy

소	cow

노랑	yellow

생겨나다	to come into existence, occur

만일	in case, by any chance, suppose
종합	synthesis, putting together
응원하다	to cheer, support
사회적	social
빌딩	building

틀림없다	to be certain, beyond a doubtto be trustworthy

스스로	oneself

왼편	the left side
달려가다	to run, dash, rush

고속도로	expressway, highway
관객	audience, spectator
우울하다	to be gloomy, cheerless, depressed
농업	agriculture
블라우스	blouse

맡기다	to leave something with someone,to entrust, deposit

눈병	eye disease
속도	speed, pace
놀랍다	to be surprising, startlingto be wonderful, marvelous

냄비	pot, saucepan

프로	professional

예매하다	to book, reserve, buy in advanceto sell tickets in advance
딴	other, different

유난히	unusually, exceptionally

화려하다	to be splendid, gorgeous
귀고리	earring

시청자	viewer, TV audience
적당하다	to be appropriate, suitable, moderate, proper
그늘	shade

사은품	free gift
다리다	to iron, press

종	speciesbellslave, servant
최소한	at the (very) least
장보다	to go to market, go grocery shopping
요청	request, demand
예식장	ceremony hall, wedding hall
차지하다	to take possession, occupy
흥미	interest
입구	entrance, gateway
살리다	to save one's life, spareto make good use

트럭	truck

개성	personality, individuality
숨쉬다	to breathe

지하도	underpass
원인	cause, factor
이루어지다	to come trueto be formed, consist (of)

청소기	vacuum cleaner
지식	knowledge, understanding
굵다	to be thick

도표	diagram, chart
간절히	earnestly, eagerly, sincerely
깨닫다	to realize, recognize
해수욕장	swimming beach
인구	population
흘리다	to spill, shed (tears, blood etc.)

커튼	curtain

가로등	street lamp, street light
붓다	to pour (into)to become swollen

음식점	restaurant
대박	jackpotsomething great

전학가다	to change schools
법원	court (of law)
뿌리	root

배탈나다	to have a stomachache
이천	Icheon
매표소	ticket booth
구조하다	to save, rescue
병실	hospital room, ward
눈썹	eyebrow

노크하다	to knock

실제로	in fact, actually
낚시	fishing

건지다	to take out of waterto take back

플랫폼	platform

다방	tea room, coffee house
끓다	to boil, simmer

품목	item, goods
골목	alley

챙기다	to gather, pack, put things in orderto take care of

매달	every month
독감	flu
붙다	to stick to, adhere to

시어머니	mother-in-law (of a woman)
핑크	pink

당하다	to experience, encounter, suffer
운전사	driver, chauffeur
고급	high rank
풀리다	to get solved, get loose, be relieved

동아리	club, society, group

학자	scholar
커다랗다	to be very big, huge

연락처	contact information
책꽂이	bookshelf
쏟다	to spill, pour

바닷물	seawater

약도	rough map, sketch map
매다	to tie, bind

뮤지컬	musical

게으르다	to be idle, lazy

진찰	medical examination
배드민턴	badminton

건너가다	to cross, go across

옛날얘기	folk tale, legend

그제	day before yesterday

삼다	to adopt, use a thing as

머리카락	hair

부사	adverb
드물다	to be rare

깨끗이	cleanly, neatly

유치원	kindergarten
떨리다	to tremble, shake, shiver

동남아시아	Southeast Asia
액자	picture frame
서투르다	to be unfamiliar (with), unskilled, poor (at)

동양	the East
미용실	beauty salon, hairdresser's
밟다	to step onto trail after

요금	charge, fee
소방서	fire station
놀리다	to tease, kid, make fun ofto leave something idle, unused

돌	stone, rockfirst birthday

서랍	drawer

없애다	to remove, get rid ofto waste

맞선	marriage meeting, blind date

사모님	one's teacher's wife,one's superior's wife
벌주다	to punish

점수	score, mark, grade
엄청	very, very much

문병가다	to visit a sick person
런던	London

집들이	housewarming party

털다	to dust off, brush offto rob

분실물	lost article, lost item
매진	sold out, sellout
보여주다	to show, display

훈련	training, practice
이태원	Itaewon

미끄럽다	to be slippery

시험지	test paper
똑같이	equally, evenly

예상하다	to forecast, anticipate, expect
식혜	sweet rice drink
테이프	tape

붉다	to be red, crimson
눈앞	in front of one's eyes, just ahead

주택	house, housing
캄캄하다	to be dark, pitch-black

대학원생	graduate student
순서	order, sequence, procedure
시다	to be sour

이하	below, less than
음	sound, toneyin
빠져나가다	to escape, slip away

구체적	concrete, definite, specific
파도	waves
깨우다	to wake someone up

색연필	colored pencil
교장	principal, headmaster
팔리다	to be sold, be in demand

신혼부부	newly wed couple
예외	exception
지나치다	to pass by, go pastto go too far, be too much

어차피	anyway, in any case
스케줄	schedule

바람나다	to have a secret love affair

통신	communication, correspondence
센터	center

외출하다	to go out
역사적	historical
부족	tribeshortage, lack
옥상	rooftop
아깝다	to be precious, valuableto be regrettable, pitiful

의지	will, volition
무조건	unconditional
쫓다	to chase, pursue

기적	miraclesteam whistle
콧물	snot, nasal mucus
감동받다	to be impressed
동료	colleague, co-worker
아이디어	idea
솔직하다	to be frank, honest, candid
게다가	besides, on top of that

목도리	scarf

파	green onion

힘세다	to be strong, powerful

붕대	bandage, dressing
리모콘	remote control
어색하다	to feel awkward, be at a loss for words
촬영	shooting, filming
오죽	very, indeed, how

보고하다	to report, inform
달리	differently

예금	deposit, savings
어느새	in no time, quickly

먹이다	to feed, let someone eat

빵집	bakery

창고	warehouse, storage
고동색	reddish brown
등록하다	to register, enroll
멍청이	stupid person

손톱	fingernail

단순하다	to be simple
살짝	slightly, gentlyin secret, by stealth

가스	gas

발걸음	step, pace

만족하다	to be satisfied, pleased
영수증	receipt
인물	person, individual, character
관찰하다	to observe, watch
책방	bookstore
대전	Daejeon
재벌	conglomerate, plutocrat
감소하다	to decrease, decline
변기	toilet
다만	only, merely

수다떨다	to chitchat

비둘기	pigeon

여왕	queen
황금	gold
저금하다	to save money, make a deposit
액션	action

삼계탕	chicken soup with ginseng
죄	crime, sin, blame
자유롭다	to be free
대학로	Daehangno
선착순으로	by order of arrival
명성	reputation, fame
고정시키다	to fix, fasten, immobilize
주사	injection, shot
답장	response, answer (written)
지은이	writer, author

임신하다	to be pregnant
곤충	insect, bug
심리학	psychology
까닭	reason, cause, grounds (for)

따라다니다	to follow (somebody around), to chase

개미	ant

기념일	anniversary
압력	pressure
나빠지다	to grow worse

자녀	children
아프리카	Africa

철	iron, steelseasondiscretion, [good] sense
대기하다	to stand by, be waiting
최종	last, final
독립	independence
미끄럼	slide, sliding

이어지다	to be connected, be continued

전경	panoramathe front view
구석	corner

호기심	curiosity
다가가다	to approach, go near

교재	teaching materials
미용	beauty treatment
좀처럼	rarely

시합하다	to play against, have a game
작품	piece of artwork
유감	regret
급행열차	express train
한가하다	to be free, have leisure, have time to spare
오해	misunderstanding
티켓	ticket

상세	details, particulars
치우다	to tidy up, clean up, remove

웨딩드레스	wedding dress

마감	deadline

보험	insurance
때리다	to beat, hit, attack
건너	across

실외	outdoors
기후	climate
이발하다	to get a haircut (for men)
식	form, styleceremony
무대	stage
관악산	Mt. Gwanak
소중하다	to be valuable, important, precious
가사	lyricshousework, chores
집안일	housework, housekeepinghousehold affair

약혼	engagement (before marriage)
언짢다	to be upset, displeased

결말	ending, finish, conclusion
아리랑	traditional Korean song Arirang

구좌	(bank) account
보장하다	to guarantee
홍콩	Hong Kong

민속촌	Folk village
어휘	vocabulary
희한하다	to be strange, odd, unusual, rare
만년필	fountain pen
그네	swings

합계	sum, total
감다	to wind, rollto washto close one's eyes

광주	Gwangju
횡단보도	crosswalk
환대	hospitality, [warm] welcome
여전하다	to be unchanged, be as usual
빗물	rainwater

집집마다	every house

네모	square

독하다	to be potent, strongto be spiteful
영혼	soul
객실	roomcabin
호주머니	pocket
허전하다	to feel empty, lonesome

모험	adventure
빈칸	blank column

머무르다	to stay, remain

시제	tense (grammatical)
즐겁게	pleasantly

섞다	to blend, mix

장난감	toy

매점	snack stand, booth
다이어트	diet

걸어다니다	to walk, walk around

물가	cost of living, prices
중고품	used article, secondhand goods
느끼하다	to be greasy, oily, rich
돌잔치	celebration of a baby's first birthday

과외	extracurricular work
잠기다	to be locked, be fastenedto be submerged, go down

선택권	option, choice
운	luck, fortune, fate
국기	national flag
경고하다	to warn
별것	something peculiar
다리미	clothes iron

토론	discussion, debate
바치다	to dedicate, offer, give

샌들	sandals

승용차	passenger car
화산	volcano
운반하다	to transport, carry, convey
천장	ceiling
온라인	online

작동	operation (of a device)
지원하다	to support, backto apply, volunteer
몫	share, portion

노동자	worker, laborer
논리	logic
빚내다	to borrow money

비상	emergency -
장비	equipment, gear
계획표	written schedule
무서워하다	to fear, be afraid

성장	growth
차라리	rather, preferably

지옥	hell
일어서다	to stand up

